mets,rxn1,rxn2,type,maxCosine,cosines,formula1,formula2,degree,pair_gene1,pair_gene2
accoa[m],RM00351,RMC0088,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,4 coa[m] + 4 nad[m] + 4 h2o[m] + 3 fad[m] + fa16p1n7coa[m]  -> 4 accoa[m] + 4 nadh[m] + 4 h[m] + 3 fadh2[m] + occoa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0089,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,coa[m] + nad[m] + h2o[m] + fad[m] + odecoa[m]  -> accoa[m] + nadh[m] + h[m] + fadh2[m] + fa16p1n7coa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0090,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,5 coa[m] + 5 nad[m] + 5 h2o[m] + 4 fad[m] + vacccoa[m]  -> 5 accoa[m] + 5 nadh[m] + 5 h[m] + 4 fadh2[m] + occoa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0091,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,2 coa[m] + 2 nad[m] + 2 h2o[m] + 2 fad[m] + lnlccoa[m]  -> 2 accoa[m] + 2 nadh[m] + 2 h[m] + 2 fadh2[m] + fa14p2n6coa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0092,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,3 coa[m] + 3 nad[m] + 3 h2o[m] + nadph[m] + 2 fad[m] + fa14p2n6coa[m]  -> 3 accoa[m] + 3 nadh[m] + 2 h[m] + nadp[m] + 2 fadh2[m] + occoa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0093,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,2 coa[m] + 2 nad[m] + 2 h2o[m] + 2 fad[m] + dlnlcgcoa[m]  -> 2 accoa[m] + 2 nadh[m] + 2 h[m] + 2 fadh2[m] + fa16p3n6coa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0094,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,coa[m] + nad[m] + h2o[m] + nadph[m] + fad[m] + fa16p3n6coa[m]  -> accoa[m] + nadh[m] + nadp[m] + fadh2[m] + fa14p2n6coa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0095,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,2 coa[m] + 2 nad[m] + 2 h2o[m] + fad[m] + arachdcoa[m]  -> 2 accoa[m] + 2 nadh[m] + 2 h[m] + fadh2[m] + fa16p3n6coa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0096,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,2 coa[m] + 2 nad[m] + 2 h2o[m] + 2 fad[m] + eicostetcoa[m]  -> 2 accoa[m] + 2 nadh[m] + 2 h[m] + 2 fadh2[m] + fa16p4n3coa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0097,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,4 coa[m] + 4 nad[m] + 4 h2o[m] + 2 nadph[m] + 3 fad[m] + fa16p4n3coa[m]  -> 4 accoa[m] + 4 nadh[m] + 2 h[m] + 2 nadp[m] + 3 fadh2[m] + fa8p1n3coa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0098,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,2 coa[m] + 2 nad[m] + 2 h2o[m] + fad[m] + tmndnccoa[m]  -> 2 accoa[m] + 2 nadh[m] + 2 h[m] + fadh2[m] + fa16p4n3coa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0100,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,2 coa[m] + 2 nad[m] + 2 h2o[m] + fad[m] + fa8p1n3coa[m]  -> 2 accoa[m] + 2 nadh[m] + 2 h[m] + fadh2[m] + btcoa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0103,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,coa[m] + nad[m] + h2o[m] + fad[m] + fa17p0isocoa[m]  -> accoa[m] + nadh[m] + h[m] + fadh2[m] + fa15p0isocoa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0104,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,3 coa[m] + 3 nad[m] + 3 h2o[m] + 3 fad[m] + fa15p0isocoa[m]  -> 3 accoa[m] + 3 nadh[m] + 3 h[m] + 3 fadh2[m] + fa9p0isocoa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0105,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,2 coa[m] + 2 nad[m] + 2 h2o[m] + 2 fad[m] + fa9p0isocoa[m]  -> 2 accoa[m] + 2 nadh[m] + 2 h[m] + 2 fadh2[m] + ivcoa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0106,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,coa[m] + nad[m] + h2o[m] + fad[m] + fa19c11coa[m]  -> accoa[m] + nadh[m] + h[m] + fadh2[m] + fa17c9coa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0107,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,3 coa[m] + 3 nad[m] + 3 h2o[m] + 3 fad[m] + fa17c9coa[m]  -> 3 accoa[m] + 3 nadh[m] + 3 h[m] + 3 fadh2[m] + fa11c3coa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[m],RM00351,RMC0126,P/C,0.257813234766866,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,coa[m] + nad[m] + h2o[m] + fad[m] + stcoa[m]  -> accoa[m] + nadh[m] + h[m] + fadh2[m] + pmtcoa[m] ,35,x.cts_1_met9_lib1,x_ech_6_met13_lib1
accoa[c],RC01978,RC03552,P/C,0.363271878610942,,h2o[c] + accoa[c] + aacoa[c]  -> h[c] + coa[c] + hmgcoa[c] ,accoa[c] + Nlys[c]  <=> h[c] + coa[c] + Naclys[c] ,40,x.hmgs_1_met13_lib1,x_mys_1_met9_lib3
accoa[c],RCC0019,RC03552,P/C,0.363704525616254,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,accoa[c] + Nlys[c]  <=> h[c] + coa[c] + Naclys[c] ,40,x.pod_2_met11_lib4,x_mys_1_met9_lib3
accoa[c],RC02058,RC03552,P/C,0.270926143382104,,accoa[c] + gam6p[c]  -> h[c] + coa[c] + acgam6p[c] ,accoa[c] + Nlys[c]  <=> h[c] + coa[c] + Naclys[c] ,40,x.gna_2_met10_lib5,x_mys_1_met9_lib3
oaa[m],RM00351,RM00342,P/C,0.411474101112489,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,nad[m] + mal-L[m]  <=> nadh[m] + h[m] + oaa[m] ,4,x.cts_1_met9_lib1,x_mdh_2_met11_lib1
cit[m],RM00351,RMC0001,P/C,0.404391889848461,,accoa[m] + h2o[m] + oaa[m]  -> coa[m] + h[m] + cit[m] ,cit[m]  <=> icit[m] ,5,x.cts_1_met9_lib1,x_aco_2_met9_lib1
q[m],RM02164,RM02161,P/C,0.805107311734685,,succ[m] + q[m]  -> qh2[m] + fum[m] ,2 h[m] + qh2[m] + 2 ficytC[m]  -> 4 h[c] + q[m] + 2 focytC[m] ,12,x.sdha_2_met6_lib1,x_ucr_2_3_met6_lib1
q[m],RMC0006,RM02161,P/C,0.725574680926681,,nadh[m] + 5 h[m] + q[m]  -> 4 h[c] + nad[m] + qh2[m] ,2 h[m] + qh2[m] + 2 ficytC[m]  -> 4 h[c] + q[m] + 2 focytC[m] ,12,x.nduf_5_met6_lib4,x_cyc_1_met6_lib3
q[m],RM02161,RMC0007,P/C,0.725574680926681,,2 h[m] + qh2[m] + 2 ficytC[m]  -> 4 h[c] + q[m] + 2 focytC[m] ,h[c] + nadh[m] + q[m]  -> nad[m] + qh2[m] ,12,x.cyc_1_met6_lib3,x_nduf_5_met6_lib4
q[m],RM02161,RMC0008,P/C,0.725574680926681,,2 h[m] + qh2[m] + 2 ficytC[m]  -> 4 h[c] + q[m] + 2 focytC[m] ,nadh[m] + h[m] + q[m]  -> nad[m] + qh2[m] ,12,x.cyc_1_met6_lib3,x_nduf_5_met6_lib4
qh2[m],RM02164,RM02161,P/C,0.805107311734685,,succ[m] + q[m]  -> qh2[m] + fum[m] ,2 h[m] + qh2[m] + 2 ficytC[m]  -> 4 h[c] + q[m] + 2 focytC[m] ,9,x.sdha_2_met6_lib1,x_ucr_2_3_met6_lib1
qh2[m],RMC0006,RM02161,P/C,0.725574680926681,,nadh[m] + 5 h[m] + q[m]  -> 4 h[c] + nad[m] + qh2[m] ,2 h[m] + qh2[m] + 2 ficytC[m]  -> 4 h[c] + q[m] + 2 focytC[m] ,9,x.nduf_5_met6_lib4,x_cyc_1_met6_lib3
qh2[m],RM02161,RMC0007,P/C,0.725574680926681,,2 h[m] + qh2[m] + 2 ficytC[m]  -> 4 h[c] + q[m] + 2 focytC[m] ,h[c] + nadh[m] + q[m]  -> nad[m] + qh2[m] ,9,x.cyc_1_met6_lib3,x_nduf_5_met6_lib4
qh2[m],RM02161,RMC0008,P/C,0.725574680926681,,2 h[m] + qh2[m] + 2 ficytC[m]  -> 4 h[c] + q[m] + 2 focytC[m] ,nadh[m] + h[m] + q[m]  -> nad[m] + qh2[m] ,9,x.cyc_1_met6_lib3,x_nduf_5_met6_lib4
fum[m],RM02164,RM01082,P/C,0.325678505431294,,succ[m] + q[m]  -> qh2[m] + fum[m] ,mal-L[m]  <=> h2o[m] + fum[m] ,8,x.mev_1_met6_lib6,x_fum_1_met13_lib6
6pgl[c],RC02736,RC02035,P/C,0.310545598955383,,g6p-B[c] + nadp[c]  -> h[c] + nadph[c] + 6pgl[c] ,h2o[c] + 6pgl[c]  -> h[c] + 6pgc[c] ,2,x.gspd_1_met7_lib2,x_Y57G11C_3_met7_lib6
6pgc[c],RC02035,RC01528,P/C,0.236161974244792,,h2o[c] + 6pgl[c]  -> h[c] + 6pgc[c] ,nadp[c] + 6pgc[c]  -> co2[c] + nadph[c] + ru5p-D[c] ,3,x.Y57G11C.3_met7_lib6,x_T25B9_9_met11_lib2
s7p[c],RC01641,RC01827,P/C,0.597500826723647,,g3p[c] + s7p[c]  <=> xu5p-D[c] + r5p[c] ,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,4,x.tkt_1_met7_lib2,x_tald_1_met7_lib2
e4p[c],RC01830,RC01827,P/C,0.597500826723647,,f6p[c] + g3p[c]  <=> xu5p-D[c] + e4p[c] ,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,3,x.tkt_1_met7_lib2,x_tald_1_met7_lib2
