mets,rxn1,rxn2,type,maxCosine,cosines,formula1,formula2
f6p[c],RC01827,RC00768,P/C,-0.00210063821496987,,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,f6p[c] + gln-L[c]  -> glu-L[c] + gam6p[c] 
f6p[c],RC01827,RC00867,P/C,0.00394523839814079,,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,atp[c] + fru[c]  -> f6p[c] + adp[c] + h[c] 
f6p[c],RC00768,RC00867,P/C,0,,f6p[c] + gln-L[c]  -> glu-L[c] + gam6p[c] ,atp[c] + fru[c]  -> f6p[c] + adp[c] + h[c] 
g6p-B[c],RC03321,RC02739,P/C,NaN,,g6p-B[c]  <=> f6p[c] ,g6p-A[c]  <=> g6p-B[c] 
g6p-B[c],RC03321,RC01600,P/C,0.0393417973806295,,g6p-B[c]  <=> f6p[c] ,atp[c] + glc-D-B[c]  -> g6p-B[c] + adp[c] + h[c] 
g6p-B[c],RC03321,RC02736,P/C,0.415809430229973,,g6p-B[c]  <=> f6p[c] ,g6p-B[c] + nadp[c]  -> h[c] + nadph[c] + 6pgl[c] 
g6p-B[c],RC02739,RC01600,P/C,0.0393417973806295,,g6p-A[c]  <=> g6p-B[c] ,atp[c] + glc-D-B[c]  -> g6p-B[c] + adp[c] + h[c] 
g6p-B[c],RC02739,RC02736,P/C,0.415809430229973,,g6p-A[c]  <=> g6p-B[c] ,g6p-B[c] + nadp[c]  -> h[c] + nadph[c] + 6pgl[c] 
g6p-B[c],RC01600,RC02736,P/C,0,,atp[c] + glc-D-B[c]  -> g6p-B[c] + adp[c] + h[c] ,g6p-B[c] + nadp[c]  -> h[c] + nadph[c] + 6pgl[c] 
amp[c],RC00235,RC01049,P/C,0.0358309282053368,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] 
amp[c],RC00235,RC00127,P/C,0.0552262281536167,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + amp[c]  <=> 2 adp[c] 
amp[c],RC00235,RC01083,P/P,-0.00500291152155129,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,dcamp[c]  -> amp[c] + fum[c] 
amp[c],RC00235,RC00578,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + h2o[c] + gln-L[c] + asp-L[c]  -> h[c] + amp[c] + ppi[c] + glu-L[c] + asn-L[c] 
amp[c],RC00235,RC01280,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + hdca[c]  -> amp[c] + ppi[c] + pmtcoa[c] 
amp[c],RC00235,RC00185,P/P,0.02668434039536,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + adn[c]  -> adp[c] + h[c] + amp[c] 
amp[c],RC00235,RC00183,P/C,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,amp[c] + h2o[c]  -> pi[c] + adn[c] 
amp[c],RC00235,RC00190,P/P,0.0227755058548211,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,prpp[c] + ade[c]  -> amp[c] + ppi[c] 
amp[c],RC00235,RC01230,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + nh4[c] + xmp[c]  -> 2 h[c] + amp[c] + ppi[c] + gmp[c] 
amp[c],RC00235,RC01231,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + h2o[c] + gln-L[c] + xmp[c]  -> 2 h[c] + amp[c] + ppi[c] + glu-L[c] + gmp[c] 
amp[c],RC00235,RCC0022,P/P,NaN,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + ppa[c]  -> amp[c] + ppi[c] + ppcoa[c] 
amp[c],RC00235,RC08733,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + thcholstoic[c]  -> amp[c] + ppi[c] + cholcoar[c] 
amp[c],RC00235,RCC0055,P/P,0,,atp[c] + ac[c] + coa[c]  -> amp[c] + ppi[c] + accoa[c] ,atp[c] + coa[c] + ddca[c]  -> amp[c] + ppi[c] + ddcacoa[c] 
