"","RNAiID","batchID","RNAi_geneName","RNAi_WBID","isICEL","isMetabolic","isValidRNAi","isHighConfiRNAi","WT_TPM","N_DE","isResponsive","N_DE_targetExcluded"
"105090","x.SPECIAL_R05F9.6_Y43F4B.5 met13_lib4","met13_lib4","SPECIAL-R05F9.6-Y43F4B.5",NA,FALSE,FALSE,TRUE,FALSE,NA,337,TRUE,337
"105427","x.MULTIPLE_F02E8.4_F02E8.3 met13_lib4","met13_lib4","MULTIPLE-F02E8.4-F02E8.3",NA,FALSE,FALSE,FALSE,FALSE,NA,9,TRUE,9
"105436","x.emb_8 met13_lib4","met13_lib4","emb-8","WBGene00001262",TRUE,TRUE,TRUE,TRUE,436.341516249098,4,FALSE,3
"105440","x.let_767 met13_lib4","met13_lib4","let-767","WBGene00002891",TRUE,TRUE,TRUE,TRUE,107.998784233674,2118,TRUE,2117
"107558","x.daf_9 met13_lib4","met13_lib4","daf-9","WBGene00000905",TRUE,TRUE,TRUE,FALSE,0.67520557343527,8,TRUE,8
"107566","x.tatn_1 met13_lib4","met13_lib4","tatn-1","WBGene00009628",TRUE,TRUE,TRUE,TRUE,43.6304634645464,631,TRUE,630
"108197","x.mrp_5 met13_lib4","met13_lib4","mrp-5","WBGene00003411",TRUE,FALSE,TRUE,TRUE,58.1949217132902,78,TRUE,77
"108275","x.W02F12.2 met13_lib5","met13_lib5","W02F12.2","WBGene00020947",TRUE,TRUE,TRUE,FALSE,4.34745949063143,59,TRUE,59
"108334","x.mdh_1 met13_lib5","met13_lib5","mdh-1","WBGene00018491",TRUE,TRUE,TRUE,TRUE,265.377627451942,4,FALSE,3
"108338","x.T01G1.4 met13_lib5","met13_lib5","T01G1.4","WBGene00044025",TRUE,TRUE,TRUE,TRUE,425.751386698355,252,TRUE,251
"108590","x.SPECIAL_hxk-1_hxk-2_hxk-3 met13_lib5","met13_lib5","SPECIAL-hxk-1-hxk-2-hxk-3",NA,FALSE,FALSE,TRUE,FALSE,NA,102,TRUE,102
"108692","x.figo_1 met13_lib5","met13_lib5","figo-1","WBGene00007912",TRUE,TRUE,TRUE,FALSE,6.54622338709534,1,FALSE,1
"108693","x.SPECIAL_acly-1_acly-2 met13_lib5","met13_lib5","SPECIAL-acly-1-acly-2",NA,FALSE,FALSE,TRUE,FALSE,NA,3,FALSE,3
"108696","x.W06B4.2 met13_lib5","met13_lib5","W06B4.2","WBGene00021057",TRUE,TRUE,TRUE,FALSE,5.51864938360846,132,TRUE,132
"108828","x.hacd_1 met13_lib5","met13_lib5","hacd-1","WBGene00019978",TRUE,TRUE,TRUE,TRUE,86.5131682857294,9,TRUE,8
"108837","x.dhs_21 met13_lib5","met13_lib5","dhs-21","WBGene00000984",TRUE,TRUE,TRUE,TRUE,17.4796076947456,4,FALSE,3
"108841","x.chup_1 met13_lib5","met13_lib5","chup-1","WBGene00006477",TRUE,FALSE,TRUE,FALSE,20.5525495556895,16,TRUE,16
"108857","x.suox_1 met13_lib5","met13_lib5","suox-1","WBGene00010397",TRUE,TRUE,TRUE,TRUE,30.7787659687286,8,TRUE,7
"108865","x.nnt_1 met13_lib5","met13_lib5","nnt-1","WBGene00003778",TRUE,TRUE,TRUE,TRUE,0.128844812290239,60,TRUE,59
"108925","x.algn_7 met13_lib6","met13_lib6","algn-7","WBGene00013362",TRUE,TRUE,TRUE,TRUE,45.8769865324801,118,TRUE,117
"109043","x.kynu_1 met13_lib6","met13_lib6","kynu-1","WBGene00015802",TRUE,TRUE,TRUE,TRUE,28.6748178371259,40,TRUE,39
"109083","x.elo_6 met13_lib6","met13_lib6","elo-6","WBGene00001244",TRUE,TRUE,TRUE,TRUE,156.312498571155,18,TRUE,17
"109101","x.ivd_1 met13_lib6","met13_lib6","ivd-1","WBGene00015326",TRUE,TRUE,TRUE,TRUE,78.5743690526294,19,TRUE,18
"109120","x.fum_1 met13_lib6","met13_lib6","fum-1","WBGene00001503",TRUE,TRUE,TRUE,TRUE,242.064337575928,4087,TRUE,4086
"113207","x.mthf_1 met13_lib6","met13_lib6","mthf-1","WBGene00015512",TRUE,TRUE,TRUE,TRUE,282.075262324377,18,TRUE,17
"113225","x.R151.2 met13_lib6","met13_lib6","R151.2","WBGene00020107",TRUE,TRUE,TRUE,TRUE,515.02892672465,102,TRUE,101
"113327","x.pmt_2 met13_lib6","met13_lib6","pmt-2","WBGene00018811",TRUE,TRUE,TRUE,TRUE,238.694698055366,1275,TRUE,1274
"114602","x.pisy_1 met13_lib6","met13_lib6","pisy-1","WBGene00012897",TRUE,TRUE,TRUE,TRUE,336.254672689675,2,FALSE,1
"114604","x.ctps_1 met13_lib6","met13_lib6","ctps-1","WBGene00012316",TRUE,TRUE,TRUE,TRUE,417.126366787828,3156,TRUE,3155
"117760","x.B0024.13 met13_lib6","met13_lib6","B0024.13","WBGene00007102",TRUE,TRUE,TRUE,TRUE,379.291733641917,1,FALSE,0
"117761","x.sur_5 met13_lib6","met13_lib6","sur-5","WBGene00006351",TRUE,TRUE,TRUE,TRUE,140.044345286929,2,FALSE,1
"117763","x.T24C12.3 met13_lib6","met13_lib6","T24C12.3","WBGene00020765",TRUE,TRUE,TRUE,TRUE,27.0350786885789,18,TRUE,17
"117781","x.F26D11.1 met13_lib6","met13_lib6","F26D11.1","WBGene00017818",TRUE,TRUE,TRUE,TRUE,27.3458200575348,2,FALSE,1
"117783","x.ckb_3 met1_lib1","met1_lib1","ckb-3","WBGene00000513",TRUE,TRUE,TRUE,FALSE,0.0104319695903207,0,FALSE,0
"117784","x.mce_1 met1_lib1","met1_lib1","mce-1","WBGene00008415",TRUE,TRUE,TRUE,FALSE,11.1147015324839,0,FALSE,0
"117785","x.H23N18.4 met1_lib1","met1_lib1","H23N18.4","WBGene00019235",TRUE,TRUE,TRUE,FALSE,0.0335149286485336,0,FALSE,0
