	BIGG	CPD	FORMULA	MW
EX01697	galt[e] -->	galt	C6H14O6	182.1706
EX00197	3pg[e] -->	3pg	C3H4O7P	183.0316
EX00631	2pg[e] -->	2pg	C3H4O7P	183.0316
EX01717	kynate[e] -->	kynate	C10H6NO3	188.1614
EX00158	cit[e] -->	cit	C6H5O7	189.0985
EX00311	icit[e] -->	icit	C6H5O7	189.0985
EX03793	tmlys[e] -->	tmlys	C9H21N2O2	189.2769
EX05635	5hoxindoa[e] -->	5hoxindoa	C10H8NO3	190.1772
EX00191	glcur[e] -->	glcur	C6H9O7	193.1301
EX00257	glcn[e] -->	glcn	C6H11O7	195.1459
EX05335	selmeth[e] -->	selmeth	C5H11NO2Se	196.1179
EX00355	34dhphe[e] -->	34dhphe	C9H11NO4	197.1889
EX02679	ddca[e] -->	ddca	C12H23O2	199.3117
EX02470	xanate[e] -->	xanate	C10H5NO4	203.1525
EX00078	trp-L[e] -->	trp-L	C11H12N2O2	204.2278
EX00750	sprm[e] -->	sprm	C10H30N4	206.375
EX00818	glcr[e] -->	glcr	C6H8O8	208.1212
EX00328	Lkynr[e] -->	Lkynr	C10H12N2O3	208.2158
EX02076	sedh[e] -->	sedh	C7H14O7	210.1806
EX00864	pnto-R[e] -->	pnto-R	C9H16NO5	218.2274
EX00643	5htrp[e] -->	5htrp	C11H12N2O3	220.2268
EX00140	acgam[e] -->	acgam	C8H15NO6	221.2075
EX01132	acgal[e] -->	acgal	C8H15NO6	221.2075
EX00881	dcyt[e] -->	dcyt	C9H13N3O4	227.2187
EX06424	ttdca[e] -->	ttdca	C14H27O2	227.3653
EX00526	duri[e] -->	duri	C9H12N2O5	228.2028
EX00268	dhbpt[e] -->	dhbpt	C9H13N5O3	239.2337
EXC0141	mercplaccys[e] -->	mercplaccys	C6H10O5S2N	240.277
EX00272	thbpt[e] -->	thbpt	C9H15N5O3	241.2495
EX00214	thymd[e] -->	thymd	C10H14N2O5	242.2296
EX00475	cytd[e] -->	cytd	C9H13N3O5	243.2177
EX00299	uri[e] -->	uri	C9H12N2O6	244.2018
EX00018	pydx5p[e] -->	pydx5p	C8H8NO6P	245.1262
EX00669	glucys[e] -->	glucys	C8H13N2O5S	249.2647
EX00559	dad-2[e] -->	dad-2	C10H13N5O3	251.2447
EX05512	din[e] -->	din	C10H12N4O4	252.2288
SNK1009	argp -->	argp	C6H14N4O5P	253.1736
EX00249	hdca[e] -->	hdca	C16H31O2	255.4189
EX00670	g3pc[e] -->	g3pc	C8H20NO6P	257.221
EX00352	gam6p[e] -->	gam6p	C6H13NO8P	258.1417
EX00378	thm[e] -->	thm	C12H17N4OS	265.3583
EX00212	adn[e] -->	adn	C10H13N5O4	267.2437
EX00330	dgsn[e] -->	dgsn	C10H13N5O4	267.2437
EX00294	ins[e] -->	ins	C10H12N4O5	268.2278
EX01595	lnlc[e] -->	lnlc	C18H31O2	279.4409
EXC0135	vacc[e] -->	vacc	C18H33O2	281.4567
EX00387	gsn[e] -->	gsn	C10H13N5O5	283.2427
EX01530	ocdca[e] -->	ocdca	C18H35O2	283.4725
EX01762	xtsn[e] -->	xtsn	C10H12N4O6	284.2268
EX00376	retinal[e] -->	retinal	C20H28O	284.4402
EX00473	retinol[e] -->	retinol	C20H30O	286.456
EXC0001	Rtotal2[e] -->	Rtotal2	C18.5654H31.5778O2.0	286.81428402
EX00162	Rtotal[e] -->	Rtotal	C18.5654H31.5778O2.0	286.81428402
EX00535	tststerone[e] -->	tststerone	C19H28O2	288.4282
EX03917	5adtststerone[e] -->	5adtststerone	C19H30O2	290.444
EX00523	andrstrn[e] -->	andrstrn	C19H30O2	290.444
EX00170	5mta[e] -->	5mta	C11H15N5O3S	297.3365
EX00777	retn[e] -->	retn	C20H27O2	299.4313
EX00219	arachd[e] -->	arachd	C20H31O2	303.4629
EX00239	dcmp[e] -->	dcmp	C9H12N3O7P	305.1818
EX00051	gthrd[e] -->	gthrd	C10H16N3O6S	306.3164
EXC0053	dna_BAC[e] -->	dna_BAC	C9.7465H11.2465N3.7535O6.0P1.0	307.94383335
EXC0211	sphings_ce[e] -->	sphings_ce	C19H40NO2	314.53
EXC0207	sphgn_ce[e] -->	sphgn_ce	C19H42NO2	316.5458
EX00909	leuktrA4[e] -->	leuktrA4	C20H29O3	317.4461
EXC0052	rna_BAC[e] -->	rna_BAC	C9.5853H10.7825N3.9531O6.9499P1.0	323.53324185
EX00575	camp[e] -->	camp	C10H11N5O6P	328.1999
EX01185	nicrnt[e] -->	nicrnt	C11H12NO9P	333.1878
EX00455	nmn[e] -->	nmn	C11H14N2O8P	333.2116
EX05356	5HPET[e] -->	5HPET	C20H31O4	335.4609
EX02165	leuktrB4[e] -->	leuktrB4	C20H31O4	335.4609
SNK0074	f26bp -->	f26bp	C6H10O12P2	336.081
EX00354	fdp[e] -->	fdp	C6H10O12P2	336.081
EX04677	aicar[e] -->	aicar	C9H13N4O8P	336.1957
SNK0013	tre -->	tre	C12H22O11	342.2948
EX00208	malt[e] -->	malt	C12H22O11	342.2948
EX05402	melib[e] -->	melib	C12H22O11	342.2948
EX00089	sucr[e] -->	sucr	C12H22O11	342.2948
EX01083	tre[e] -->	tre	C12H22O11	342.2948
EX00185	clb[e] -->	clb	C12H22O11	342.2948
EX00243	lcts[e] -->	lcts	C12H22O11	342.2948
EX00942	35cgmp[e] -->	35cgmp	C10H11N5O7P	344.1989
EX00020	amp[e] -->	amp	C10H12N5O7P	345.2068
EX00130	imp[e] -->	imp	C10H11N4O8P	346.1909
EX01885	mag[e] -->	mag	C20.3018H38.5094O4.0	346.65454406
EX00427	prostgh2[e] -->	prostgh2	C20H31O5	351.4599
EX00584	prostge2[e] -->	prostge2	C20H31O5	351.4599
EX04853	leuktrB4woh[e] -->	leuktrB4woh	C20H31O5	351.4599
EX00696	prostgd2[e] -->	prostgd2	C20H31O5	351.4599
EX01137	ametam[e] -->	ametam	C14H24N6O3S	356.4476
EX00655	xmp[e] -->	xmp	C10H11N4O9P	362.1899
EX01103	orot5p[e] -->	orot5p	C10H10N2O11P	365.166
EX00255	ribflv[e] -->	ribflv	C17H20N4O6	376.367
EX00021	ahcys[e] -->	ahcys	C14H20N6O5S	384.414
EX00187	chsterol[e] -->	chsterol	C27H46O	386.6594
EXC0210	sphs1p_ce[e] -->	sphs1p_ce	C19H39NO5P	392.4931
EXC0208	sph1p_ce[e] -->	sph1p_ce	C19H41NO5P	394.5089
EX00019	amet[e] -->	amet	C15H23N6O5S	399.4487
EX05455	xol7aone[e] -->	xol7aone	C27H44O2	400.6426
EX15610	xol27oh[e] -->	xol27oh	C27H46O2	402.6584
EX15519	xol25oh[e] -->	xol25oh	C27H46O2	402.6584
EX00695	cholate[e] -->	cholate	C24H39O5	407.5671
EX17339	xoldiolone[e] -->	xoldiolone	C27H44O3	416.6416
EX06341	xoltri27[e] -->	xoltri27	C27H46O3	418.6574
EX15520	xoltri25[e] -->	xoltri25	C27H46O3	418.6574
EX00068	thmpp[e] -->	thmpp	C12H16N4O7P2S	422.2924
EX00054	pap[e] -->	pap	C10H11N5O10P2	423.1699
EX17337	7a3o4chlstnt[e] -->	7a3o4chlstnt	C27H41O4	429.6169
EX01060	35diotyr[e] -->	35diotyr	C9H9I2NO3	432.9741
EX00504	fol[e] -->	fol	C19H18N7O6	440.3942
EX00101	thf[e] -->	thf	C19H21N7O6	443.4179
EX04722	thcholstoic[e] -->	thcholstoic	C27H45O5	449.6475
EX00061	fmn[e] -->	fmn	C17H19N4O9P	454.3301
EX00143	mlthf[e] -->	mlthf	C20H21N7O6	455.4289
EX00440	5mthf[e] -->	5mthf	C20H24N7O6	458.4526
EX01921	gchola[e] -->	gchola	C26H43NO6	465.6267
EX11135	andrstrnglc[e] -->	andrstrnglc	C25H38O8	466.5672
EX03479	5fthf[e] -->	5fthf	C20H21N7O7	471.4279
EX11061	retnglc[e] -->	retnglc	C26H35O8	475.5545
EX00459	dttp[e] -->	dttp	C10H13N2O14P3	478.1347
EXC0203	spc_ce[e] -->	spc_ce	C24H52N2O5P	479.6578
EX00075	utp[e] -->	utp	C9H11N2O15P3	480.1069
EX00002	atp[e] -->	atp	C10H12N5O13P3	503.1488
SNK0045	itp -->	itp	C10H11N4O14P3	504.1329
EX00081	itp[e] -->	itp	C10H11N4O14P3	504.1329
EX04317	ak2lgchol[e] -->	ak2lgchol	C26.0H56.0N1.0O6.0P1.0	509.7034
EX18126	lpglyc[e] -->	lpglyc	C24.5654H44.5778O9.0P1.0	514.94998402
EX05122	tchola[e] -->	tchola	C26H45NO7S	515.7065
SNK0028	retpalm -->	retpalm	C36H60O2	524.868
SNK0029	retpalm-cis-11 -->	retpalm-cis-11	C36H60O2	524.868
EX04230	lpchol[e] -->	lpchol	C26.5654H50.5778N1.0O7.0P1.0	527.02838402
EX18125	acg3ps[e] -->	acg3ps	C24.5654H43.5778N1.0O9.0P1.0	527.94908402
EX02094	caro[e] -->	caro	C40H56	536.8824
SNK0016	polyadprib -->	polyadprib	C15H19N5O13P2	539.2851
EX04598	paf[e] -->	paf	C28.0H58.0N1.0O7.0P1.0	551.7402
EX00301	adprib[e] -->	adprib	C15H21N5O14P2	557.2999
EX00167	udpglcur[e] -->	udpglcur	C15H19N2O18P2	577.2591
EX00486	bilirub[e] -->	bilirub	C33H34N4O6	582.6536
EX00127	gthox[e] -->	gthox	C20H30N6O12S2	610.617
EX00032	pheme[e] -->	pheme	C34H30FeN4O4	614.48
EXC0202	crmp_ce[e] -->	crmp_ce	C37.5654H68.5778N1.0O6.0P1.0	661.29258402
EX01613	stachyose[e] -->	stachyose	C24H42O21	666.5748
EXC0058	pe_BAC[e] -->	pe_BAC	C38.171H74.2872N1.0O8.0P1.0	706.31894988
EXC0013	q8[e] -->	q8	C49H74O4	727.1196
EXC0059	pg_BAC[e] -->	pg_BAC	C39.171H74.2872O10.0P1.0	736.32094988
EX01190	gluside[e] -->	gluside	C43.5654H79.5778N1.0O8.0	745.46948402
EXC0142	phospholipid_BAC[e] -->	phospholipid_BAC	C40.2301H77.5825N0.7702O8.85P1.05	746.30117425
EXC0201	sphmyln_ce[e] -->	sphmyln_ce	C42.5654H81.5778N2.0O6.0P1.0	748.45728402
EXC0060	ps_BAC[e] -->	ps_BAC	C39.171H73.2872N1.0O10.0P1.0	749.32004988
EX00350	pe[e] -->	pe	C42.1308H75.1556N1.0O8.0P1.0	754.75536804
EX00016	fad[e] -->	fad	C27H31N9O15P2	783.5379
EX00344	pglyc[e] -->	pglyc	C43.1308H75.1556O10.0P1.0	784.75736804
EX00157	pchol[e] -->	pchol	C45.1308H81.1556N1.0O8.0P1.0	796.83576804
EX02737	ps[e] -->	ps	C43.1308H74.1556N1.0O10.0P1.0	797.75646804
SNK0014	tag -->	tag	C54.9054H99.5282O6.0	855.77723218
EX00422	tag[e] -->	tag	C54.9054H99.5282O6.0	855.77723218
EX05270	hxcoa[e] -->	hxcoa	C27H42N7O17P3S	861.6478
EX01194	pail[e] -->	pail	C46.1308H79.1556O13.0P1.0	872.81896804
EX01290	galgluside[e] -->	galgluside	C49.5654H89.5778N1.0O13.0	907.60948402
EX05787	bildglcur[e] -->	bildglcur	C45H50N4O18	934.9
EXC0050	BAC[e] -->	BAC	C39.944Co0.0004Fe0.0011H62.5579Mo0.0063N10.1973O15.2944P0.897S0.2323Se0.0002	966.28583751
EXC0054	peptido_BAC[e] -->	peptido_BAC	C40H62N8O21	990.9648
EXC0152	pepX[e] -->	pepX	X	1000.0
EX01211	pcollg5hlys[e] -->	pcollg5hlys	XHO	1017.0069
SNK0071	Nlys -->	Nlys	XC6H13N2O	1129.1817
