,WBID,whole_dataset_geTMM,asel_geTMM,aser_geTMM
18016,WBGene00022399,1.62935094,0.566682601,0.709506222
18017,WBGene00022400,6.082775532,6.88788809,6.260714943
18018,WBGene00022401,6.091657472,5.945473633,5.755577193
18019,WBGene00022402,5.859893424,6.779154833,4.997356556
18020,WBGene00022403,0.22691028,0.163116433,1.75074928
18021,WBGene00022404,1.018000726,0.611091702,0.265243855
18022,WBGene00022405,0.59351333,0.10491543,0.603909062
18023,WBGene00022406,0.293281993,0.081483451,0
18024,WBGene00022407,0.571230265,0.412168033,0
18025,WBGene00022408,0.807498987,0.224129238,0
18026,WBGene00022409,1.494340707,5.039781876,5.087982885
18027,WBGene00022410,9.650519706,10.32123322,11.1474294
18028,WBGene00022411,0.203617434,0,0
18029,WBGene00022412,1.383730471,2.298042602,1.519066989
18030,WBGene00022413,1.130214447,0.984388459,0.976227251
18031,WBGene00022415,2.27655608,4.930022118,1.354171208
18032,WBGene00022416,1.013654112,3.207982354,3.159904605
18033,WBGene00022417,0.687212244,2.188620046,0.370196745
18034,WBGene00022418,3.014063386,2.625413539,1.825065544
18035,WBGene00022419,4.83458194,6.364591117,7.821390464
18036,WBGene00022420,4.155610763,3.255150169,1.54778893
18037,WBGene00022421,0.058446791,0,0
18038,WBGene00022423,2.094494489,4.875032453,1.720635789
18039,WBGene00022425,3.817896286,1.26709255,1.350754725
18040,WBGene00022426,0.364073891,0,0
18041,WBGene00022427,4.038666769,4.058910896,3.720864189
18042,WBGene00022428,0.612937803,0,0.313109968
18043,WBGene00022431,0.134927916,0.23827905,0
18044,WBGene00022432,0.081552503,0.087748216,0
18045,WBGene00022434,3.51092008,3.301043551,3.273046424
18046,WBGene00022435,2.837521759,6.370557658,7.538541771
18047,WBGene00022439,0.061640022,0,0
18048,WBGene00022440,0.559575402,0.407649722,0
18049,WBGene00022441,0.712555789,0.679168847,0.867817207
18050,WBGene00022444,0.077460898,0.167143446,0
18051,WBGene00022445,0.646314484,1.22704929,0.11624362
18052,WBGene00022446,0.039340702,0,0
18053,WBGene00022447,2.911319011,1.57285577,1.748065183
18054,WBGene00022448,3.483926026,4.106078477,3.698895047
18055,WBGene00022450,3.897289134,4.666752004,4.160515377
18056,WBGene00022452,3.176713689,4.83300658,3.355806064
18057,WBGene00022453,7.245774827,6.425015078,6.840901073
18058,WBGene00022454,0.98866328,1.288334825,0.440808108
18059,WBGene00022455,1.697807015,0.752709411,2.085562672
18060,WBGene00022456,4.74992355,5.778377672,4.389353776
18061,WBGene00022457,4.21641251,3.21620132,3.083404812
18062,WBGene00022458,5.222751076,4.620140008,7.326539881
18063,WBGene00022459,2.801210627,4.738685719,1.105898741
18064,WBGene00022460,4.953220244,4.135932277,4.442247699
18065,WBGene00022462,0.969686898,1.02198085,0.816910817
18066,WBGene00022463,3.184495871,2.654920907,2.347943622
18067,WBGene00022465,3.652793913,8.734491868,7.557270269
18068,WBGene00022466,3.28019908,4.039732951,1.83246614
18069,WBGene00022467,0.569528253,0.465405252,0.576557366
18070,WBGene00022469,3.300700277,4.402851987,3.279730892
18071,WBGene00022470,3.914011311,3.09428101,2.603255022
18072,WBGene00022471,2.24861715,0.80988723,3.959793408
18073,WBGene00022472,3.733808596,1.540229067,9.037841423
18074,WBGene00022473,5.364012817,5.616757332,5.364256661
18075,WBGene00022474,1.052418036,0.398980704,0.834247227
18076,WBGene00022475,4.229705873,3.671818864,3.173682904
18077,WBGene00022476,0.085937894,0,0
18078,WBGene00022477,0.101838155,0,0
18079,WBGene00022478,0.483704743,0.146458959,0.087652947
18080,WBGene00022479,0.282087531,0.075585711,0.912882664
18081,WBGene00022482,0.149211354,0,0
18082,WBGene00022484,1.084652251,0.127680453,1.587569331
18083,WBGene00022485,3.775150058,0.852683557,3.587825166
18084,WBGene00022486,0.354110457,0.130732146,0.400483381
18085,WBGene00022487,0.245782975,0,0
18086,WBGene00022488,1.107127874,0.769841515,0.938942678
18087,WBGene00022489,6.311623235,4.850680603,4.981003294
18088,WBGene00022490,0.761908566,1.032962239,0.963440805
18089,WBGene00022491,1.52992957,1.283842862,1.383843208
18090,WBGene00022492,7.764637859,8.268816828,8.061705052
18091,WBGene00022493,1.796438284,1.210544932,1.530438597
18092,WBGene00022494,0.01449219,0,0
18093,WBGene00022495,0.001769222,0,0
18094,WBGene00022497,4.099316035,3.333063152,3.205536649
18095,WBGene00022498,0.637420616,4.955540272,4.295682504
18096,WBGene00022499,1.360183589,4.190625269,3.502021776
18097,WBGene00022500,8.008844983,8.106519423,8.592183746
18098,WBGene00022501,3.098771472,1.473794257,4.701130451
18099,WBGene00022502,3.859368091,5.352757812,4.092794871
18100,WBGene00022503,2.936229629,7.069005881,6.855668625
18101,WBGene00022504,0.92383926,0.599250602,0.56741328
18102,WBGene00022505,1.583738372,3.027719496,1.10580439
18103,WBGene00022506,1.173636526,1.635932277,0.837383507
18104,WBGene00022507,0.420082179,0.443542507,0.5628248
18105,WBGene00022508,0.139305723,0,0
18106,WBGene00022511,0.01141518,0,0
18107,WBGene00022512,0.049556949,0,0
18108,WBGene00022515,1.958006079,1.017019297,1.226867176
18109,WBGene00022516,5.634944929,6.435956394,6.302556099
18110,WBGene00022517,1.726896582,1.348492389,1.256288365
18111,WBGene00022518,5.403116131,4.839380086,4.80680475
18112,WBGene00022519,4.00631982,3.22836733,4.832858408
18113,WBGene00022521,0.231657367,0.112615322,0.494781867
18114,WBGene00022522,2.273708439,3.318750947,6.310094652
18115,WBGene00022526,0.749353439,0.229143488,0.443915583
18116,WBGene00022527,1.951008453,3.632323831,3.672573395
18117,WBGene00022528,0.404173408,0,0
18118,WBGene00022529,0.278194577,0,0
18119,WBGene00022530,1.694818762,2.743840293,0.90883016
18120,WBGene00022531,3.294928464,1.485693341,1.126698064
18121,WBGene00022532,1.337646736,2.232742044,0.571357996
18122,WBGene00022533,1.979748959,2.173575479,0.811855293
18123,WBGene00022534,4.643698083,3.659139905,3.825402452
18124,WBGene00022536,0.276842432,0.111992821,0
18125,WBGene00022537,0.491904675,0.142265503,0.104799418
18126,WBGene00022538,2.505128998,0.941577758,2.15080484
18127,WBGene00022539,0.554570381,0.445294904,1.4354205
18128,WBGene00022540,0.758617731,1.298659332,2.678507343
18129,WBGene00022541,0.419437151,0.182771949,0.226000816
18130,WBGene00022542,0.373467306,0,0.197123074
18131,WBGene00022544,0.943616224,0.541452698,0.799829954
18132,WBGene00022545,0.153757322,0.110490967,0.27785817
18133,WBGene00022546,0.237925155,0,0.221022011
18134,WBGene00022547,0.15155749,0.223760943,0.060481687
18135,WBGene00022548,0.215171436,0,0
18136,WBGene00022549,0.384754085,0.234739384,0.0520233
18137,WBGene00022550,0.420705712,0.18535131,0.684181459
18138,WBGene00022551,0.31605026,0,0
18139,WBGene00022552,0.232850724,0,0.091111318
18140,WBGene00022553,0.099396972,0,0
18141,WBGene00022554,3.850831894,2.957558053,3.632077869
18142,WBGene00022555,0.057621129,0.084445558,0.097250275
18143,WBGene00022557,0.033465521,0,0
18144,WBGene00022559,0.045136326,0,0
18145,WBGene00022560,0.022996885,0,0
18146,WBGene00022561,0.108001182,0,0
18147,WBGene00022562,1.417622754,1.433943015,1.106768785
18148,WBGene00022564,1.346256268,0.46190689,0.641351707
