rxns,formula,normalized_OFD_exp_resp_simi,normalized_OFD_exp_resp,normalized_OFD_exp_simi,normalized_OFD_exp_only,normalized_OFD_no_data,OFD_exp_resp_simi,OFD_exp_resp,OFD_exp_simi,OFD_exp_only,OFD_no_data,FVA_PFD_exp_resp_simi_1,FVA_PFD_exp_resp_simi_2,FVA_PFD_exp_resp_1,FVA_PFD_exp_resp_2,FVA_PFD_exp_simi_1,FVA_PFD_exp_simi_2,FVA_PFD_exp_only_1,FVA_PFD_exp_only_2,FVA_PFD_no_data_1,FVA_PFD_no_data_2,PFD_bounded_exp_resp_simi,PFD_bounded_exp_resp,PFD_bounded_exp_simi,PFD_bounded_exp_only,PFD_bounded_no_data,FVA_OFD_exp_resp_simi_1,FVA_OFD_exp_resp_simi_2,FVA_OFD_exp_resp_1,FVA_OFD_exp_resp_2,FVA_OFD_exp_simi_1,FVA_OFD_exp_simi_2,FVA_OFD_exp_only_1,FVA_OFD_exp_only_2,FVA_OFD_no_data_1,FVA_OFD_no_data_2,OFD_bounded_exp_resp_simi,OFD_bounded_exp_resp,OFD_bounded_exp_simi,OFD_bounded_exp_only,OFD_bounded_no_data,related_responsiveness_constraints,related_similarity_constraints
RC00959,g1p[c]  <=> g6p-A[c],0.0211935139713904,-0.0509652847541364,0.0305672938236451,0.0278060997663725,0.0451743405812367,0.0254251011728642,-0.0888946566381942,0.0350602778506945,0.0307199746944991,0.0545325466831628,-0.164278383395339,0.0703266939977825,-1.91903930187933,0.157081384303536,-0.233983951204466,0.0995415171452244,-18.1381663746218,0.172145922637924,-609.506607888111,10.6427637841165,0,0,0,0,0,0.0112476474296734,0.0426893158574331,-1.91477170571026,0.149359615887754,-0.233983951168285,0.0990927070437754,-2.69355962374608,0.141430089697899,-14.6606095007261,0.358426786360155,1,0,0,0,0,"ND",ND
RC02740,g6p-A[c]  <=> f6p[c],0.0083356655406314,-0.00620345739104926,-0.00871849731305303,0.0856766843328643,0,0.00999999999999091,-0.0108201929491277,-0.00999999999999091,0.0946549712735042,0,-1000,999.089975191113,-1000,999.169719638538,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-8.1662639993661,7.55603457219039,-66.0546226524615,65.3868923566258,-19.1275721065004,18.5944652917451,-25.9229558996562,25.4009714905598,-95.5256724558889,95.497448770132,0,0,0,0,0,"ND",ND
RC03321,g6p-B[c]  <=> f6p[c],-0.89857758476815,-0.690940080959412,-0.144212681953579,0.0742114541316406,-0.103309749566164,-1.07799140978882,-1.20515134077551,-0.16541002052904,0.0819882691970717,-0.124711145056153,-1000,999.071969087816,-1000,999.166271144248,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-8.62402598200885,7.09827259038796,-66.4756151325603,64.9658998763889,-19.5840937527121,18.14002231698,-26.3098014785408,25.0185878035672,-95.6765980261355,95.3940168699748,0,0,0,0,0,"ND",ND
RC02739,g6p-A[c]  <=> g6p-B[c],0.118905991422613,0.00573322252216257,0.179144435156389,-0.00905147222373501,0.111523071312322,0.142647267747139,0.00999999999993406,0.205476275009017,-0.00999999999990564,0.13462591848247,-999.180132672967,1000,-1000,1000,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-7.40338730379329,8.31891126796037,-65.3380128519769,66.1569620713269,-18.4065757243616,19.3154616738916,-25.3150563632537,26.0643767781534,-95.404879040853,95.6230160955954,0,0,0,0,0,"ND",ND
RC01600,atp[c] + glc-D-B[c]  -> g6p-B[c] + adp[c] + h[c],0,0.0387417982006022,0,0.0832629263553674,0.0135796,0,0.0675742098803681,0,0.0919882691969683,0.0163927167814877,0,0.391468904540935,0,2.63631943088841,0,0.462396704889005,0,24.5326368310284,0,818.300423585186,0,0,0,0,0,0,0.0645582479632515,0,2.62998850965323,0,0.462396704872315,0,3.7805157635282,0,18.9938306150661,0,0,0,0,0,"ND",ND
RC01786,atp[c] + glc-D-A[c]  -> g6p-A[c] + adp[c] + h[c],0.14094186518029,0.074979,0.158851559372214,0.0684827256402701,0.0749790000000002,0.169082917846397,0.130779853232042,0.182200617455307,0.0756592120561854,0.0905114665792194,0,0.489032747713395,0,2.63631943088973,0,0.725412355510736,0,24.5326368310019,0,818.300423585191,0,0,0,0,0,0.104410621095343,0.18505839948137,0,2.63133095913196,0,0.725412355439064,0,3.90556080267219,0,20.3075684086362,1,0,0,0,0,"ND",ND
RC09085,adp[c] + glc-D-A[c]  -> g6p-A[c] + h[c] + amp[c],0,0,0.00871849731306096,0.00905147222382042,0,0,0,0.01,0.01,0,0,0.0684048640338055,0,0.277507308518393,0,0.521724671095261,0,24.5426368310171,0,818.300423585191,0,0,0,0,0,0,0.00336985661492351,0,0.277507308515566,0,0.52172467104462,0,3.73151687132334,0,18.9730832511715,0,0,0,0,0,"ND",ND
RC09086,glc-D-B[c] + adp[c]  -> g6p-B[c] + h[c] + amp[c],0,0,0,0.00905147222382042,0,0,0,0,0.01,0,0,0.0650113557837808,0,0.277507308518356,0,0.372311403909875,0,24.5426368310154,0,818.300423585188,0,0,0,0,0,0,0.00320268083892518,0,0.277507308515415,0,0.372311403875084,0,3.6206045400492,0,17.8221867982148,0,0,0,0,0,"ND",ND
RC01602,glc-D-A[c]  <=> glc-D-B[c],-0.0121797311215123,0,-0.0144514497312954,0,0,-0.01461158807552,0,-0.0165756198716103,0,0,-1000,1000,-1000,1000,-1000,1000,-1000,1000,-1000,1000,0,0,0,0,0,-7.5085624497811,7.44606586445961,-65.3513788128251,65.4417048254262,-18.5405900174355,18.4617940446286,-25.3480765352642,25.4484727140825,-95.4265941768108,95.5053472355032,0,0,0,0,0,"ND",ND
RC01070,fdp[c]  <=> dhap[c] + g3p[c],0.00833566554063898,0,-0.0880987409473516,0.237764144269276,0,0.01,0,-0.101048079484263,0.26268007942792,0,-0.0725009892686597,0.101482512545577,-0.302738033296813,0.2868630573155,-0.613826998086188,0.371880047925974,-36.4551548038461,0.864932100980035,-1000,41.181539587149,0,0,0,0,0,-0.00357996387598727,0.0204072937102903,-0.302738033294517,0.286863057313608,-0.613826998025565,0.371880047882843,-5.15635670989258,0.681386163778288,-26.5377134600622,1.36268919090742,0,0,0,0,0,"ND",ND
